Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column10,,,,,,,,,,,,,,,,,,,,
"I intend to get the same TV as a replacement (I bought the Square Deal insurance policy, thank goodness!).",Sentiment,0.631813624,Product,0.232565639,Other,0.115288702,"sentiment, other",1,"I intend to get the same TV as a replacement (I bought the Square Deal insurance policy, thank goodness!",Sentiment,0.649550493,Other,0.235293355,Product,0.099188406,Comparison,0.015967746,,"iintend to get the same <Product> as a replacement (<Consumer> bought the Square Deal insurance policy, thank goodness!",Product,0.461369251,Sentiment,0.390295555,Other,0.128250747,Comparison,0.020084446,1
The small screws stripped and came loose very easily.,Sentiment,0.856559544,Product,0.127717454,Other,0.009184135,"sentiment, product",1,The small screws stripped and came loose very easily.,Product,0.826483039,Sentiment,0.135467608,Other,0.027480349,Comparison,0.010569003,,The <Feature> and came loose very easily.,Sentiment,0.616726837,Product,0.347207918,Other,0.021961518,Comparison,0.014103727,1
My TV fell to the floor and the front screen cracked.,Product,0.620605326,Sentiment,0.350959247,Other,0.01673153,sentiment,1,My TV fell to the floor and the front screen cracked.,Sentiment,0.864514623,Other,0.071294673,Product,0.05355131,Comparison,0.010639394,,My TV fell to the floor and the front screen cracked.,Sentiment,0.852056494,Product,0.096764127,Other,0.040002145,Comparison,0.011177235,1
"It scared us, but my grandson was OK - just shaken.",Sentiment,0.943923217,Product,0.044423767,Comparison,0.006855063,sentiment,1,"<Product> scared <Consumer>, but my grandson was OK - just shaken.",Sentiment,0.954169982,Product,0.037043404,Comparison,0.004528013,Other,0.004258601,,"<Product> scared <Consumer>, but my grandson was OK - just shaken.",Sentiment,0.95420177,Product,0.033455202,Other,0.007923018,Comparison,0.004420011,1
I decided to work on getting this base recalled and potential buyers warned.,Product,0.615850369,Sentiment,0.341509528,Other,0.031817101,sentiment,1,I decided to work on getting this base recalled and potential buyers warned.,Product,0.517233272,Other,0.411799866,Sentiment,0.057684912,Comparison,0.013281949,,<Consumer> decided to work on getting this base recalled and potential buyers warned.,Product,0.69066639,Other,0.216799657,Sentiment,0.068053248,Comparison,0.024480705,1
"Now, to be fair to both Amazon and Samsung, I was very impressed by the picture quality.",Product,0.977876983,Sentiment,0.011668346,Comparison,0.007056282,product,1,"Now, to be fair to both Amazon and Samsung, I was very impressed by the picture quality.",Product,0.893290836,Sentiment,0.080675513,Other,0.014935228,Comparison,0.011098423,,"Now, to be fair to both <Company> and <Company>, <Consumer> was very impressed by the <Feature>.",Sentiment,0.922456606,Product,0.065000785,Comparison,0.006652344,Other,0.005890265,0
"This review is not about the quality of the screen or the electronics, it is about safety.",Product,0.50280781,Sentiment,0.381020377,Other,0.098313763,"sentiment, other",1,"This review is not about the quality of the screen or the electronics, it is about safety.",Product,0.943458069,Other,0.028006872,Sentiment,0.02393703,Comparison,0.004598029,,"This review is not about the <Feature> or the electronics, it is about safety.",Product,0.666999377,Sentiment,0.238209055,Other,0.072640351,Comparison,0.022151217,1
Anything is probably better than Samsung.,Product,0.696626639,Comparison,0.280350143,Sentiment,0.014941443,"sentiment, other",0,Anything is probably better than Samsung.,Product,0.960508076,Comparison,0.027749793,Sentiment,0.007723009,Other,0.004019123,,Anything is probably better than <Company>.,Product,0.942636232,Comparison,0.039976989,Sentiment,0.011737437,Other,0.005649341,1
"I will be working with Amazon, Square Deal and Samsung to get these TV's recalled for the weak base design.",Product,0.976897482,Other,0.011895347,Sentiment,0.008519479,product,1,"I will be working with Amazon, Square Deal and Samsung to get these TV's recalled for the weak base design.",Product,0.851045512,Other,0.075669322,Sentiment,0.064320846,Comparison,0.00896432,,"<Consumer> will be working with <Company>, Square Deal and <Company> to get these <Product>'s recalled for the weak base design.",Sentiment,0.884988774,Product,0.099579644,Other,0.010117545,Comparison,0.005314037,0
I am even considering contacting consumer protection agencies - it appears to me to be that important.,Sentiment,0.762965919,Product,0.215500979,Other,0.012698686,sentiment,1,I am even considering contacting consumer protection agencies - it appears to me to be that important.,Sentiment,0.947536853,Product,0.036955497,Other,0.010756475,Comparison,0.004751174,,<Consumer> am even considering contacting consumer protection agencies - it appears to me to be that important.,Product,0.633385149,Sentiment,0.341101536,Other,0.014861146,Comparison,0.010652169,1
PLEASE be aware of this dangerous design if you have small children in the house.,Sentiment,0.986064472,Product,0.008262365,Other,0.003946821,"sentiment, product",1,PLEASE be aware of this dangerous design if you have small children in the house.,Sentiment,0.974395228,Other,0.0144681,Product,0.007376151,Comparison,0.003760521,,PLEASE be aware of this dangerous design if you have small children in the house.,Sentiment,0.987337521,Product,0.005817537,Other,0.004631878,Comparison,0.002213063,1
"Actually, it's dangerous for anyone.",Other,0.58778938,Sentiment,0.364237832,Product,0.03257297,sentiment,1,"Actually, it's dangerous for anyone.",Other,0.640250099,Sentiment,0.314116144,Product,0.027585052,Comparison,0.018048704,,"Actually, it's dangerous for anyone.",Other,0.610663112,Sentiment,0.338172806,Product,0.02927586,Comparison,0.021888221,1
"A 65"" TV is heavy and could hurt anyone.",Product,0.959117578,Sentiment,0.019369961,Comparison,0.016471965,product,1,A <Product> <Product> is <Descriptor> and could hurt anyone.,Product,0.969440241,Sentiment,0.01541073,Other,0.010309544,Comparison,0.004839485,,A <Product> <Product> is <Descriptor> and could hurt anyone.,Product,0.968552548,Sentiment,0.015600073,Other,0.010697989,Comparison,0.005149389,1
"I really like Samsung products, but this design is a big disappointment to me.",Product,0.983445745,Comparison,0.007773833,Sentiment,0.005804293,"sentiment, product",1,"I really like Samsung products, but this <Feature> is a <Descriptor> to me.",Product,0.989695213,Comparison,0.004391497,Sentiment,0.004193062,Other,0.001720228,,"<Consumer> really like <Company> products, but this <Feature> is a <Descriptor> to me.",Product,0.927686174,Sentiment,0.050369659,Other,0.013857984,Comparison,0.008086183,1
"So I did, and set off two weeks of being run in circles by the horrid Samsung customer service.",Sentiment,0.989942396,Product,0.004495869,Comparison,0.003468882,"product, other",0,"So I did, and set off <Feature> of being run in circles by the <Descriptor> <Company> <Product> service.",Sentiment,0.989963263,Other,0.005435671,Product,0.002973958,Comparison,0.001627108,,"So <Consumer> did, and set off <Feature> of being run in circles by the <Descriptor> <Company> <Product> <Customer_Service>.",Product,0.836757071,Sentiment,0.139888429,Other,0.014997573,Comparison,0.008356927,1
"The box has an obvious ""punch hole"" in the side.",Product,0.992032398,Sentiment,0.004256741,Comparison,0.003189872,product,1,"The box has an obvious ""punch hole"" in the side.",Product,0.99094716,Sentiment,0.00368868,Other,0.003133348,Comparison,0.002230812,,"The <Feature> has an obvious ""punch hole"" in the side.",Product,0.987701529,Comparison,0.008092324,Other,0.002251484,Sentiment,0.001954664,1
We take the screen out and sure enough it's cracked and dented.,Other,0.472272826,Product,0.267708719,Sentiment,0.241493568,product,1,We take the screen out and sure enough it's cracked and dented.,Other,0.713281635,Product,0.212335355,Sentiment,0.061528318,Comparison,0.012854691,,We take the screen out and sure enough it's <Descriptor> and <Descriptor>.,Product,0.894343158,Other,0.067391796,Sentiment,0.026874886,Comparison,0.01139016,1
Purchased it on September 27th of this year.,Sentiment,0.922587719,Other,0.064516897,Product,0.007643236,sentiment,1,Purchased it on September 27th of this year.,Sentiment,0.921854034,Other,0.055453304,Product,0.017085186,Comparison,0.005607476,,Purchased it on September 27th of this year.,Sentiment,0.712251615,Other,0.254654955,Product,0.023146825,Comparison,0.009946606,0
"One month later, on October 25th, the screen stopped working.",Sentiment,0.74498893,Other,0.139908793,Product,0.101510697,product,0,"One month later, on October 25th, the screen stopped working.",Sentiment,0.894775484,Other,0.070582338,Product,0.027474927,Comparison,0.007167251,,"One month later, on October 25th, the <Feature> stopped working.",Sentiment,0.78831757,Product,0.160431164,Other,0.038621899,Comparison,0.012629367,1
"The TV would power on and I could hear menu option clicks, but absolutely no screen.",Product,0.933321052,Sentiment,0.050416589,Other,0.010909722,product,1,"The <Product> would power on and <Consumer> could hear menu option clicks, but absolutely no screen.",Product,0.948451516,Sentiment,0.031536727,Other,0.015854745,Comparison,0.004157013,,"The <Product> would power on and <Consumer> could hear menu option clicks, but absolutely no screen.",Product,0.912650811,Sentiment,0.048341106,Other,0.03259996,Comparison,0.006408123,1
"Instead of returning it, since I had thrown away the box, I decided to call Samsung and use the warranty.",Sentiment,0.722155681,Product,0.245170142,Comparison,0.017095571,product,1,"<Consumer>nstead of returning <Product>, since I had thrown away the <Feature>, I decided to call Samsung and use the warranty.",Product,0.558874443,Sentiment,0.339432932,Other,0.077029088,Comparison,0.024663536,,"<Consumer>nstead of returning <Product>, since <Consumer> had thrown away the <Feature>, I decided to call <Company> and use the warranty.",Other,0.621600124,Product,0.210154379,Sentiment,0.1474403,Comparison,0.020805197,0
"It took them 5 days to get a technician to my home (Technical Difficulties was the company, out of Green Bay Wisconsin).",Sentiment,0.897681845,Product,0.087655951,Other,0.009422478,sentiment,1,"It took them 5 days to get a technician to my home (Technical Difficulties was the company, out of Green Bay Wisconsin).",Sentiment,0.90686529,Product,0.080261979,Other,0.00754319,Comparison,0.005329541,,"It took them 5 days to get a technician to my home (<Company> Difficulties was the company, out of Green Bay Wisconsin).",Sentiment,0.879765861,Product,0.10267542,Other,0.011314679,Comparison,0.006244041,1
The tech determined it was a defective screen and they would order another one.,Product,0.771441337,Other,0.144028296,Sentiment,0.070067867,product,1,The tech determined it was a <Descriptor> <Feature> and <Product> would order another one.,Product,0.958029567,Sentiment,0.030733045,Comparison,0.006450604,Other,0.004786784,,The tech determined it was a <Descriptor> <Feature> and <Product> would order another one.,Product,0.963709737,Sentiment,0.023960956,Comparison,0.006393768,Other,0.005935539,1
I am writing this now to help protect people who might not know about these weak stands.,Other,0.903324393,Sentiment,0.075186841,Product,0.015478241,"other, product",1,I am writing this now to help protect people who might not know about these weak stands.,Other,0.767648887,Sentiment,0.145760341,Product,0.074720943,Comparison,0.01186983,,<Consumer> am writing this now to help protect people who might not know about <Descriptor>.,Other,0.546871703,Product,0.284598035,Sentiment,0.148107941,Comparison,0.020422321,1
"I highly recommend buying directly from Amazon because they have always treated me right when I've had a problem with a TV that I bought from them, and Samsung's policy is to not do anything if they can claim the issue happened during shipping.",Sentiment,0.962388614,Product,0.025254974,Other,0.008678068,"other, product",0,"I highly recom<Consu<Consumer>r>nd buying directly from <Company> because they have always treated me right when I've had a problem with a <Product> that I bought from them, and Samsung's policy is to not do anything if they can claim the issue happened during shipping.",Sentiment,0.991757323,Product,0.005575439,Other,0.001394089,Comparison,0.001273148,,"<Consumer> highly recommend buying directly from <Company> because they have always treated me right when <Consumer>'ve had a problem with a <Product> that <Consumer> bought from them, and <Company>'s policy is to not do anything if they can claim the issue happened during shipping.",Sentiment,0.986267778,Product,0.009860075,Other,0.002251217,Comparison,0.00162093,0
SAFETY HAZARD WARNING!,Sentiment,0.903426302,Product,0.050956917,Other,0.035931108,Other,0,SAFETY HAZARD WARNING!,Sentiment,0.546113665,Product,0.282506666,Other,0.146141767,Comparison,0.025237902,,SAFETY HAZARD WARNING!,Sentiment,0.53853161,Product,0.284478529,Other,0.150275364,Comparison,0.026714496,0
I will write follow-up reviews on the TV itself and on Amazon/Samsung/Square Deal responses as well.,Other,0.951321675,Product,0.026437541,Sentiment,0.015609401,other,1,I will write follow-up reviews on the TV itself and on Amazon/Samsung/Square Deal responses as well.,Other,0.885790625,Product,0.062451357,Sentiment,0.04444982,Comparison,0.007308198,,<Consumer> will write follow-up reviews on the <Product> itself and on <Company>/<Company>/Square Deal responses as well.,Other,0.836285924,Product,0.107910431,Sentiment,0.046645003,Comparison,0.009158642,1
"I bought this TV from Best Buy, but I figured I'd write the review here as well.",Sentiment,0.848512674,Other,0.137707823,Product,0.007140208,other,0,"<Consumer> bought this <Product> from Best <Feature>, but I figured I'd write the review here as well.",Sentiment,0.978774855,Other,0.013020064,Product,0.00463772,Comparison,0.003567361,,"<Consumer> bought this <Product> from Best <Feature>, but <Consumer> figured <Consumer>'d write the review here as well.",Sentiment,0.957783233,Other,0.028927886,Product,0.009104681,Comparison,0.004184199,0
That was on a Monday.,Other,0.756957711,Sentiment,0.134143709,Product,0.095286662,other,1,That was on a Monday.,Other,0.597413113,Product,0.241869624,Sentiment,0.140398291,Comparison,0.020318972,,That was on a Monday.,Other,0.59584007,Product,0.240272565,Sentiment,0.142356957,Comparison,0.021530407,0
"The next week, on Tuesday, after not hearing from them I called Difficulties.",Other,0.665645476,Sentiment,0.29007113,Product,0.027849234,other,1,"The next week, on Tuesday, after not hearing from them I called Difficulties.",Other,0.710550109,Sentiment,0.232623913,Product,0.044070072,Comparison,0.012755906,,"The next week, on Tuesday, after not hearing from them <Consumer> called Difficulties.",Other,0.745955113,Sentiment,0.131045142,Product,0.105019468,Comparison,0.017980277,1
"They informed me the order for the screen hadn't been put in until the previous Thursday so it won't arrive until Friday, which will be over two weeks since it broke.",Sentiment,0.986710673,Other,0.006371371,Product,0.005269395,other,0,"They informed me the order for the screen hadn't been put in until the previous Thursday so it won't arrive until Friday, which will be over two weeks since it broke.",Sentiment,0.989818173,Other,0.005057115,Product,0.003382387,Comparison,0.001742325,,"They informed me the order for the screen hadn't been put in until the previous Thursday so <Product> won't arrive until Friday, which will be over two weeks since it broke.",Sentiment,0.983874995,Other,0.008528118,Product,0.005676296,Comparison,0.001920591,0
"Friday comes, the screen arrives, the tech shows up.",Other,0.536469946,Sentiment,0.389936504,Product,0.059611394,other,1,"Friday comes, the screen arrives, the tech shows up.",Other,0.517571737,Sentiment,0.407708762,Product,0.060499553,Comparison,0.014219948,,"Friday comes, the <Feature> arrives, the <Feature>.",Product,0.767093344,Sentiment,0.118023958,Other,0.100462675,Comparison,0.014420023,1
I help him bring the screen up to my apartment.,Sentiment,0.868575714,Product,0.101129279,Other,0.023387693,other,0,I help him bring the screen up to my apartment.,Sentiment,0.857750994,Product,0.102986882,Other,0.030158493,Comparison,0.009103632,,<Consumer> help him bring the screen up to my apartment.,Sentiment,0.793664378,Product,0.146868794,Other,0.046790718,Comparison,0.01267611,1
"Tech tells me they have to order another one, which will take another two weeks.",Sentiment,0.633887546,Other,0.249389708,Product,0.102019866,other,1,"Tech tells me they have to order another one, which will take another two weeks.",Sentiment,0.980501636,Other,0.009318072,Product,0.007204493,Comparison,0.002975799,,"Tech tells <Consumer> they have to order another one, which will take another two weeks.",Sentiment,0.932215357,Product,0.035499632,Other,0.02465522,Comparison,0.007629791,0
"For issues like mine they transfer you to ""executive customer service"" which is exactly the same thing except they're not off shore.",Sentiment,0.593022967,Product,0.35505311,Other,0.040008086,product,1,"For issues like mine they transfer you to ""executive customer service"" which is exactly the same thing except they're not off shore.",Sentiment,0.667170667,Product,0.30321678,Other,0.019216245,Comparison,0.010396308,,"For issues like mine they transfer you to ""executive customer service"" which is exactly the same thing except they're not off shore.",Sentiment,0.71994592,Product,0.212609731,Other,0.054676956,Comparison,0.012767393,1
The tech also told me I should just contact Samsung and see if they can just let me replace the TV at Best Buy.,Product,0.524243057,Sentiment,0.274955487,Other,0.14420891,other,0,The tech also told <Consu<Consumer>r> I should just contact Samsung and see if <Product> can just let me replace the <Product> at Best Buy.,Sentiment,0.725492032,Product,0.22158696,Other,0.039186383,Comparison,0.013734626,,The tech also told <Consumer> <Consumer> should just contact <Company> and see if <Product> can just let me replace the <Product> at <Company>.,Other,0.499690932,Sentiment,0.372285936,Product,0.110791285,Comparison,0.017231847,0
"Working with customer service they provided me a few different options, all of which would take two or more weeks ""maybe"" and then, they told me, I might not even get the same model I bought.",Sentiment,0.990133107,Other,0.004963047,Product,0.002832864,product,0,"Working with customer service they provided me a few different options, all of which would take two or more weeks ""maybe"" and then, they told me, I might not even get the same model I bought.",Sentiment,0.957430089,Other,0.032882124,Product,0.005093189,Comparison,0.004594597,,"Working with customer service they provided me a few different options, all of which would take two or more weeks ""maybe"" and then, they told me, <Consumer> might not even get the same model <Consumer> bought.",Sentiment,0.951576404,Other,0.039169749,Comparison,0.004791307,Product,0.00446254,0
I was told I may get a plasma version... After calling over and over trying to get better service I finally called yesterday and asked for a refund.,Sentiment,0.969247519,Product,0.02228461,Other,0.004586713,product,0,I was told I may get a plasma version... After calling over and over trying to get better service I finally called yesterday and asked for a refund.,Sentiment,0.984852087,Other,0.009101087,Product,0.003838209,Comparison,0.002208617,,<Consumer> was told <Consumer> may get a plasma version... After calling over and over trying to get better service <Consumer> finally called yesterday and asked for a refund.,Sentiment,0.688528408,Other,0.270811813,Comparison,0.020509959,Product,0.02014982,1
"It's off shore of course, so that is what it is.",Product,0.984355858,Other,0.007129509,Sentiment,0.006483719,other,0,"It's off shore of course, so that is what it is.",Product,0.987903267,Sentiment,0.007006655,Other,0.003581761,Comparison,0.001508317,,"It's off shore of course, so that is what it is.",Product,0.986660209,Sentiment,0.007570608,Other,0.004071593,Comparison,0.00169759,1
Moral: you probably won't have issues with your TV.,Sentiment,0.987084873,Product,0.008706228,Other,0.002203212,sentiment,1,Moral: you probably won't have issues with your TV.,Sentiment,0.991092872,Product,0.004416691,Other,0.00307163,Comparison,0.001418807,,Moral: you probably won't have issues with your <Product>.,Sentiment,0.991252067,Product,0.00443684,Other,0.002903736,Comparison,0.001407357,1
But consider the deplorable customer service record of Samsung and think about other warranty options.,Sentiment,0.915178432,Product,0.065101852,Comparison,0.012956024,product,0,But consider the <Feature> service record of <Product> and think about other warranty options.,Sentiment,0.949827711,Product,0.040731073,Other,0.005599354,Comparison,0.003841863,,But consider the <Feature> service record of <Product> and think about other <Descriptor> options.,Sentiment,0.946467692,Product,0.038305614,Other,0.009552609,Comparison,0.005674085,0
The waiting period every time I called was at least 20 minutes.,Sentiment,0.937329942,Other,0.047890099,Product,0.010344169,other,0,The waiting period every time I called was at least 20 minutes.,Other,0.628570204,Sentiment,0.337510147,Product,0.023654263,Comparison,0.010265386,,The waiting period every time <Consumer> called was at least 20 minutes.,Other,0.747439711,Sentiment,0.230129201,Product,0.014333201,Comparison,0.008097887,0
It's going to take almost a month to get my money back.,Product,0.729557201,Sentiment,0.194896653,Other,0.052065425,other,0,It's going to take almost a month to get my money back.,Sentiment,0.463901607,Product,0.398660884,Other,0.116360766,Comparison,0.021076742,,It's going to take almost a month to get my money back.,Sentiment,0.570831614,Product,0.308133266,Other,0.100498357,Comparison,0.020536763,0
One star and they've lost a customer for life.,Sentiment,0.816586697,Product,0.112166957,Other,0.060578441,sentiment,1,One <Descriptor> and they've lost a <Feature>.,Product,0.699416378,Sentiment,0.208878713,Other,0.062381034,Comparison,0.029323876,,One <Descriptor> and they've lost a <Feature>.,Product,0.71069588,Sentiment,0.199445067,Other,0.055970966,Comparison,0.033888087,1
Fantastic picture once you set the specs.,Product,0.985764295,Sentiment,0.007023111,Other,0.005247133,product,1,<Descriptor> <Feature> once you set the specs.,Product,0.988904336,Other,0.005268353,Sentiment,0.004034127,Comparison,0.001793184,,<Descriptor> <Feature> once you set the specs.,Product,0.987566456,Other,0.006159846,Sentiment,0.003267158,Comparison,0.00300654,0
Big but easy to place on stand you will need 2 people to stand it up.,Product,0.830264137,Sentiment,0.100092481,Other,0.059928075,product,1,Big but easy to place on stand you will need 2 people to stand it up.,Product,0.979851743,Sentiment,0.010247277,Other,0.007565657,Comparison,0.002335323,,<Descriptor> but <Descriptor> on stand you will need 2 people to stand it up.,Product,0.848830939,Sentiment,0.090093509,Other,0.052014499,Comparison,0.009061054,1
Excellent customer service we had a delivery issue but they took care of us.,Sentiment,0.813779904,Product,0.151793317,Other,0.026034538,product,0,<Descriptor> <Feature> service we had a delivery issue but they took care of us.,Product,0.950581957,Other,0.027380029,Sentiment,0.015845957,Comparison,0.006192057,,<Descriptor> <Feature> <Customer_Service> we had a delivery issue but they took care of us.,Product,0.377868513,Sentiment,0.320754911,Other,0.272273845,Comparison,0.029102732,1
I don't recommend any since I don't have experience with any but...,Sentiment,0.527955233,Other,0.398298449,Product,0.055782031,other,1,I don't recommend any since I don't have experience with any but...,Sentiment,0.631517899,Other,0.280913674,Product,0.07426194,Comparison,0.013306487,,<Consumer> don't recommend any since <Consumer> don't have experience with any but...,Other,0.651559815,Sentiment,0.257715547,Product,0.075855007,Comparison,0.014869631,0
This is a lot of tv for your dollar.,Sentiment,0.926414329,Product,0.061272427,Other,0.0066332,product,0,<Feature> is a lot of <Product> for your dollar.,Product,0.985379667,Sentiment,0.010369819,Other,0.002263398,Comparison,0.001987116,,<Feature> is a lot of <Product> for your dollar.,Product,0.949550779,Sentiment,0.041325988,Comparison,0.004767226,Other,0.004356007,1
I had plasma but wanted to move up to bigger size.,Sentiment,0.719995495,Product,0.203774078,Comparison,0.057672409,sentiment,1,I had plasma but wanted to move up to bigger size.,Product,0.855370523,Sentiment,0.120526062,Comparison,0.017479479,Other,0.006623936,,<Consumer> had plasma but wanted to move up to <Descriptor>.,Product,0.960960385,Sentiment,0.024223501,Other,0.007503214,Comparison,0.0073129,1
I love Samsung products.,Sentiment,0.971362489,Product,0.016140534,Comparison,0.00821379,sentiment,1,I love Samsung products.,Sentiment,0.987585243,Product,0.005285552,Comparison,0.004529225,Other,0.00259998,,<Consumer> love <Company> products.,Sentiment,0.982996436,Other,0.008844359,Product,0.004793871,Comparison,0.003365334,1
I have never had an issue with any of their products.,Sentiment,0.991933961,Other,0.00344976,Product,0.003260156,sentiment,1,I have never had an issue with any of their products.,Sentiment,0.992428806,Other,0.003321743,Product,0.00300034,Comparison,0.001249111,,<Consumer> have never had an <Feature> with any of their products.,Sentiment,0.982651093,Product,0.012337245,Comparison,0.002880529,Other,0.002131133,0
We purchased in December and just got around to putting it up a few days ago.,Sentiment,0.98212707,Other,0.009270189,Product,0.006040004,sentiment,1,We purchased in December and just got around to putting it up a few days ago.,Sentiment,0.98223868,Other,0.011800909,Comparison,0.003200727,Product,0.002759683,,<Consumer> purchased in December and just got around to putting it up a few days ago.,Sentiment,0.981334649,Other,0.011989536,Product,0.00385313,Comparison,0.002822684,0
I am in Love and his name is JS7000.,Sentiment,0.99044197,Comparison,0.005574804,Other,0.003415266,sentiment,1,I am in Love and his name is JS7000.,Sentiment,0.990268458,Product,0.004337153,Other,0.002729495,Comparison,0.002664893,,<Consumer> am in Love and his name is JS7000.,Sentiment,0.976440459,Product,0.015258381,Comparison,0.005065605,Other,0.003235556,1
First one of these I got had two blue dots that looked like a thumb print.,Sentiment,0.713350586,Product,0.263616988,Comparison,0.013624243,product,1,First one of these I got had two blue dots that looked like a thumb print.,Sentiment,0.980941796,Product,0.010880245,Other,0.005040817,Comparison,0.003137142,,First one of these <Consumer> got had two blue dots that looked like a thumb print.,Product,0.559450251,Sentiment,0.393341592,Comparison,0.024027707,Other,0.02318045,0
